Filtering the log data using "subsystem == "com.spatial.app.driver.speaker""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:08.613 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18560 clientID=413 bundleID=com.spatial.app clientReadCount=605 inputOnly=true stream=input frames=512 peak=0.574250 sample0=-0.058881 sample1=0.014468 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.574250 writeMixSeq=14921
2026-05-09 22:13:08.707 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=14976 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.263401
2026-05-09 22:13:08.783 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18576 clientID=413 bundleID=com.spatial.app clientReadCount=621 inputOnly=true stream=input frames=512 peak=0.178506 sample0=0.094528 sample1=0.123050 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.178506 writeMixSeq=14937
2026-05-09 22:13:08.954 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18592 clientID=413 bundleID=com.spatial.app clientReadCount=637 inputOnly=true stream=input frames=512 peak=0.220605 sample0=0.144184 sample1=0.200332 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.220605 writeMixSeq=14953
2026-05-09 22:13:09.125 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18608 clientID=413 bundleID=com.spatial.app clientReadCount=653 inputOnly=true stream=input frames=512 peak=0.090279 sample0=0.009150 sample1=-0.008836 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.090279 writeMixSeq=14969
2026-05-09 22:13:09.295 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18624 clientID=413 bundleID=com.spatial.app clientReadCount=669 inputOnly=true stream=input frames=512 peak=0.542556 sample0=0.459099 sample1=0.442128 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.542556 writeMixSeq=14985
2026-05-09 22:13:09.466 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18640 clientID=413 bundleID=com.spatial.app clientReadCount=685 inputOnly=true stream=input frames=512 peak=0.139654 sample0=-0.086056 sample1=-0.093509 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.139654 writeMixSeq=15001
2026-05-09 22:13:09.637 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18656 clientID=413 bundleID=com.spatial.app clientReadCount=701 inputOnly=true stream=input frames=512 peak=0.273434 sample0=0.217803 sample1=0.185018 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.273434 writeMixSeq=15017
2026-05-09 22:13:09.731 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=15072 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.166349
2026-05-09 22:13:09.807 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18672 clientID=413 bundleID=com.spatial.app clientReadCount=717 inputOnly=true stream=input frames=512 peak=0.114653 sample0=-0.032248 sample1=-0.060613 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.114653 writeMixSeq=15033
2026-05-09 22:13:09.978 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18688 clientID=413 bundleID=com.spatial.app clientReadCount=733 inputOnly=true stream=input frames=512 peak=0.297296 sample0=0.127650 sample1=0.157469 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.297296 writeMixSeq=15049
2026-05-09 22:13:10.149 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18704 clientID=413 bundleID=com.spatial.app clientReadCount=749 inputOnly=true stream=input frames=512 peak=0.048822 sample0=-0.022034 sample1=-0.028127 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.048822 writeMixSeq=15065
2026-05-09 22:13:10.319 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18720 clientID=413 bundleID=com.spatial.app clientReadCount=765 inputOnly=true stream=input frames=512 peak=0.326304 sample0=-0.172074 sample1=-0.254706 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.326304 writeMixSeq=15081
2026-05-09 22:13:10.490 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18736 clientID=413 bundleID=com.spatial.app clientReadCount=781 inputOnly=true stream=input frames=512 peak=0.375640 sample0=0.070863 sample1=0.016043 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.375640 writeMixSeq=15097
