Filtering the log data using "process == "coreaudiod" OR subsystem == "com.apple.audio.AUHAL" OR subsystem == "com.apple.coreaudio" OR subsystem BEGINSWITH "com.apple.audio""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7354  EncoderInputProc: ->1024 fr, 4096 bytes @ t=8428288 fr
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1007]
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12345.934612, 8429189 st, 1.000000 rs
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1004 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1004]
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12345.934612, 8429189 st, 1.000000 rs
2026-05-09 22:13:04.349 Db corespeechd[598:66880] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1007, cmd 0x7104f8fc8, data 0x1083998f0: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.350 Db corespeechd[598:66880] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1004, cmd 0x7104f8f58, data 0x108398030: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.350 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.381 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.392 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.403 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.413 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]        AudioQueueObject.h:1269  AQFetch: Input ring buffer returning 0x400 frames, t: 0x809f00 - 0x80a300
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7354  EncoderInputProc: ->1024 fr, 4096 bytes @ t=8429312 fr
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1005]
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12345.998612, 8430213 st, 1.000000 rs
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1006 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1006]
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12345.998612, 8430213 st, 1.000000 rs
2026-05-09 22:13:04.414 Db corespeechd[598:68082] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1005, cmd 0x7104f93b8, data 0x108398870: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.414 Db corespeechd[598:68082] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1006, cmd 0x7104f8e78, data 0x1083990b0: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.414 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.445 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.456 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.467 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.477 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.477 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]        AudioQueueObject.h:1269  AQFetch: Input ring buffer returning 0x400 frames, t: 0x80a300 - 0x80a700
2026-05-09 22:13:04.477 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7354  EncoderInputProc: ->1024 fr, 4096 bytes @ t=8430336 fr
2026-05-09 22:13:04.477 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1007]
2026-05-09 22:13:04.477 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12346.062612, 8431237 st, 1.000000 rs
2026-05-09 22:13:04.478 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1004 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.478 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1004]
2026-05-09 22:13:04.478 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12346.062612, 8431237 st, 1.000000 rs
2026-05-09 22:13:04.478 Db corespeechd[598:681ad] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1007, cmd 0x7104f8fc8, data 0x1083998f0: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.478 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.478 Db corespeechd[598:681ad] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1004, cmd 0x7104f8f58, data 0x108398030: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
